MOOTMISE_AEG;MOODETUD_TUHIKAIK_PM;MOODETUD_POORETEL_PM;MOODETUD_TUHIKAIK_CO;MOODETUD_POORETEL_CO;MOODETUD_POORETEL_CO_CORR;MOODETUD_TUHIKAIK_HC;MOODETUD_POORETEL_HC;MOODETUD_TUHIKAIK_CO2;MOODETUD_POORETEL_CO2;MOODETUD_TUHIKAIK_O2;MOODETUD_POORETEL_O2;MOODETUD_POORETEL_LAMBDA;MOODETUD_SUITSUSUS;POORETE_TOSTMISE_AEG;TYHIKAIGU_POORDED;MAX_POORDED
03.08.2018 12:34:00;700;2890;0,01;0,01;;11;17;1,52;1,52;0,68;0,01;0,999;;;;
03.08.2018 12:37:00;;;;;;;;;;;;;0,46;1,62;620;4470
03.08.2018 12:57:00;;;;;;;;;;;;;0,04;1,22;790;4310
03.08.2018 13:03:00;714;2732;0,01;0,01;;1;1;1,52;1,53;0,07;0,05;1,002;;;;
03.08.2018 13:08:00;745;2754;0,03;0,02;;1;1;1,52;1,54;0,55;0,09;1,003;;;;
03.08.2018 13:12:00;610;2610;0,01;0,02;;2;1;1,51;1,52;0,09;0,05;1,001;;;;
03.08.2018 13:37:00;;;;;;;;;;;;;0,02;1,33;700;4490
03.08.2018 13:56:00;840;2340;0,13;0,14;;1;1;1,5;1,5;0,23;0,22;1,006;;;;
03.08.2018 13:59:00;610;2260;0,02;0,01;;5;5;1,55;1,54;0,03;0,04;1,001;;;;
03.08.2018 14:02:00;773;2707;0,01;0,01;;4;3;1,51;1,5;0,12;0,47;1,021;;;;
03.08.2018 14:04:00;;;;;;;;;;;;;0,01;0,44;750;2480
03.08.2018 14:08:00;690;2670;0,08;0,08;;22;22;1,5;1,51;0,1;0,08;1;;;;
03.08.2018 14:20:00;;;;;;;;;;;;;2,91;1,33;900;4960
03.08.2018 14:20:00;;;;;;;;;;;;;3,4;1,47;900;4920
03.08.2018 14:20:00;;;;;;;;;;;;;1,44;1,82;910;4960
03.08.2018 14:35:00;;;;;;;;;;;;;2,91;1,14;800;4930
03.08.2018 14:35:00;;;;;;;;;;;;;2,55;1,18;802;4920
03.08.2018 14:35:00;;;;;;;;;;;;;2,5;1,22;799;4920
03.08.2018 14:50:00;707;2710;0,02;0,03;;3;3;1,54;1,52;0,06;0,04;1;;;;
03.08.2018 15:17:00;707;2509;0,01;0,01;;3;2;1,5;1,5;0,38;0,11;1,004;;;;
03.08.2018 15:44:00;772;2584;0,06;0,05;;6;3;1,47;1,51;0,78;0,21;1,008;;;;
03.08.2018 15:52:00;;;;;;;;;;;;;0,43;1,26;750;4720
03.08.2018 15:57:00;704;2732;0,01;0,01;;6;4;1,48;1,52;1,74;0,22;1,009;;;;
03.08.2018 16:31:00;;;;;;;;;;;;;0,02;3,84;760;4550
03.08.2018 16:35:00;665;2444;0,01;0,02;;11;11;1,53;1,54;0,36;0,17;1,006;;;;
03.08.2018 16:40:00;840;2790;0,05;0,02;;75;55;1,5;1,51;0,24;0,19;1,006;;;;
03.08.2018 16:50:00;747;2350;0,02;0,03;;15;22;1,52;1,52;0,28;0,29;1,011;;;;
03.08.2018 17:00:00;;;;;;;;;;;;;0,26;1,51;780;4200
03.08.2018 17:16:00;;;;;;;;;;;;;1,63;1,17;800;4800
03.08.2018 17:49:00;747;2565;0,01;0,01;;15;17;1,48;1,5;0,08;0,15;1,006;;;;
03.08.2018 18:07:00;;;;;;;;;;;;;0,09;1,77;650;3970
03.08.2018 18:11:00;711;2212;0,01;0,11;;11;9;1,48;1,5;0,26;0,1;1,001;;;;
03.08.2018 18:24:00;;;;;;;;;;;;;0,49;1,5;800;5200
03.08.2018 18:34:00;780;2290;0,11;0,09;;21;19;1,46;1,49;0,62;0,25;1,008;;;;
03.08.2018 18:51:00;;;;;;;;;;;;;0,41;0,91;880;4850
03.08.2018 19:12:00;760;2340;0,08;0,01;;18;3;1,48;1,5;0,19;0,47;1,021;;;;
03.08.2018 19:21:00;;;;;;;;;;;;;0,02;1,26;780;3970
03.08.2018 19:29:00;665;2415;0,01;0,01;;7;8;1,54;1,55;0,2;0,05;1,001;;;;
04.08.2018 10:06:00;780;2370;0,01;0,01;;1;2;1,51;1,49;0,09;0,32;1,014;;;;
04.08.2018 10:19:00;646;2897;0,09;0,07;;55;70;1,55;1,55;0,04;0,04;0,997;;;;
04.08.2018 10:24:00;;;;;;;;;;;;;0,18;1,38;760;4550
04.08.2018 10:29:00;;;;;;;;;;;;;0,48;0,63;860;2480
04.08.2018 10:51:00;;;;;;;;;;;;;0,24;1,67;880;4890
04.08.2018 10:52:00;;;;;;;;;;;;;1,77;1,43;830;5080
04.08.2018 11:01:00;794;2637;0,02;0,02;;9;10;1,52;1,52;0,61;0,59;1,026;;;;
04.08.2018 11:07:00;1000;2720;0,06;0,18;;1;9;1,51;1,49;0,02;0,09;0,998;;;;
04.08.2018 11:11:00;;;;;;;;;;;;;0,34;1,47;820;4610
04.08.2018 11:23:00;;;;;;;;;;;;;0,85;1,18;890;4960
04.08.2018 12:00:00;;;;;;;;;;;;;0,8;1,04;860;5040
04.08.2018 12:08:00;778;2488;0,03;0,08;;9;10;1,52;1,52;0,5;0,16;1,004;;;;
04.08.2018 12:19:00;780;2800;0,03;0,16;;6;28;1,49;1,49;0,33;0,14;1;;;;
04.08.2018 12:24:00;771;2243;0,01;0,01;;10;10;1,56;1,58;0,03;0,01;0,999;;;;
04.08.2018 12:32:00;770;2670;0,01;0,02;;9;11;1,53;1,55;0,76;0,07;1,002;;;;
04.08.2018 12:50:00;696;2551;0,01;0,01;;0;0;1,48;1,51;1;0,16;1,007;;;;
04.08.2018 13:16:00;750;2420;0,01;0,04;;1;2;1,45;1,54;2,09;0,26;1,01;;;;
04.08.2018 14:34:00;797;2573;0,02;0,02;;7;7;1,43;1,49;1,9;0,6;1,027;;;;
04.08.2018 15:24:00;788;2423;0,03;0,02;;9;12;1,56;1,54;0,23;0,54;1,023;;;;
04.08.2018 16:26:00;723;2432;0,02;0,03;;2;1;1,51;1,48;0,52;0,21;1,009;;;;
06.08.2018 9:05:00;715;2783;0,01;0,01;;2;2;1,53;1,53;0,03;0,03;1,001;;;;
06.08.2018 9:32:00;821;2398;0,02;0,02;;1;3;1,52;1,52;0,27;0,13;1,005;;;;
06.08.2018 9:57:00;710;2610;0,01;0,01;;1;1;1,53;1,54;0,55;0,19;1,008;;;;
06.08.2018 10:02:00;842;2639;0,02;0,17;;0;0;1,51;1,49;0,02;0,03;0,996;;;;
06.08.2018 10:08:00;720;2930;0,01;0,01;;2;2;1,56;1,55;0,08;0,04;1,001;;;;
06.08.2018 10:09:00;720;2600;0,01;0,01;;2;4;1,51;1,51;0,12;0,12;1,005;;;;
06.08.2018 10:20:00;700;2730;0,01;0,01;;1;2;1,14;1,42;5,22;1,27;1,062;;;;
06.08.2018 10:30:00;707;2385;0,02;0,02;;5;5;1,51;1,52;1,61;0,36;1,015;;;;
06.08.2018 10:32:00;850;2130;0,02;0,05;;45;41;1,51;1,49;0,4;0,33;1,012;;;;
06.08.2018 11:03:00;;;;;;;;;;;;;0,47;1,43;820;4970
06.08.2018 11:15:00;650;2210;0,02;0,07;;24;31;1,52;1,53;0,57;0,13;1,002;;;;
06.08.2018 11:19:00;800;2330;0,01;0,04;;0;5;0,91;1,5;8,39;0,21;1,008;;;;
06.08.2018 11:28:00;;;;;;;;;;;;;0,45;1,26;800;4500
06.08.2018 11:52:00;;;;;;;;;;;;;0;1,04;690;2720
06.08.2018 11:53:00;750;2340;0,08;0,06;;50;51;1,51;1,54;0,89;0,2;1,005;;;;
06.08.2018 12:03:00;805;2541;0,04;0,03;;2;1;1,43;1,49;1,78;0,23;1,009;;;;
06.08.2018 12:33:00;;;;;;;;;;;;;0,01;0,94;760;3020
06.08.2018 12:34:00;835;2560;0,05;0,05;;28;30;1,53;1,53;0,31;0,22;1,007;;;;
06.08.2018 12:45:00;;;;;;;;;;;;;0,11;1,34;850;5090
06.08.2018 12:46:00;;;;;;;;;;;;;0,01;1,45;820;4730
